	Pitcher	AB.1	AB.2	H.1	H.2
1	0	18	15	5	3
2	0	287	201	52	46
3	1	0	2	0	1
4	1	0	2	0	0
5	0	190	187	29	49
6	0	16	21	1	9
7	0	0	18	0	2
8	0	206	90	36	20
9	0	53	0	7	0
10	0	71	32	14	8
11	0	225	163	46	55
12	1	2	0	0	0
13	0	0	83	0	22
14	0	6	0	1	0
15	0	0	10	0	1
16	0	299	209	64	53
17	0	101	96	21	29
18	0	0	44	0	7
19	0	46	111	13	21
20	1	15	11	1	3
21	1	1	0	0	0
22	1	4	11	0	2
23	1	1	10	0	1
24	0	194	222	44	60
25	0	173	173	39	53
26	0	159	157	19	44
27	1	2	0	0	0
28	0	0	85	0	28
29	1	28	17	4	3
30	0	57	81	10	21
31	0	88	12	20	3
32	0	38	0	8	0
33	0	40	0	6	0
34	1	1	0	0	0
35	0	196	136	39	33
36	0	53	23	1	5
37	0	225	125	44	27
38	0	214	141	34	38
39	0	91	67	17	11
40	1	1	0	1	0
41	0	0	28	0	4
42	0	293	205	59	61
43	1	1	0	0	0
44	1	31	15	2	3
45	1	7	0	0	0
46	0	266	197	41	50
47	1	2	1	0	0
48	0	240	56	35	7
49	0	246	196	50	57
50	0	275	225	47	62
51	0	280	219	51	51
52	0	79	82	9	16
53	1	1	0	0	0
54	1	17	24	2	1
55	1	0	1	0	0
56	0	38	0	0	0
57	0	168	205	28	68
58	1	1	0	0	0
59	0	305	209	47	64
60	0	123	71	31	19
61	0	152	61	29	10
62	0	281	211	49	53
63	0	254	173	37	38
64	0	311	221	57	51
65	0	0	79	0	17
66	0	66	67	5	21
67	0	44	6	7	0
68	1	3	0	1	0
69	0	68	72	7	23
70	0	184	72	29	16
71	0	0	19	0	2
72	1	6	0	0	0
73	0	0	42	0	12
74	0	234	190	31	50
75	0	267	59	43	9
76	0	0	12	0	5
77	0	74	43	13	7
78	0	0	27	0	8
79	0	188	28	30	5
80	0	97	73	16	21
81	1	1	0	0	0
82	1	0	1	0	0
83	1	0	5	0	1
84	0	241	168	32	41
85	1	2	0	0	0
86	0	232	215	43	60
87	1	2	0	0	0
88	1	0	0	0	0
89	0	36	57	4	14
90	0	0	19	0	2
91	0	191	147	30	41
92	1	3	0	0	0
93	1	2	3	0	1
94	0	131	119	31	30
95	0	1	0	0	0
96	1	32	23	2	5
97	0	291	215	56	51
98	0	258	211	47	57
99	0	225	58	43	11
100	0	0	7	0	2
101	0	115	105	15	24
102	1	4	0	1	0
103	0	174	136	24	25
104	1	1	0	0	0
105	0	0	19	0	4
106	0	291	208	65	68
107	0	263	166	42	45
108	1	0	14	0	1
109	0	98	136	10	35
110	1	1	0	0	0
111	0	5	0	0	0
112	0	159	111	15	25
113	0	183	228	31	80
114	0	270	218	56	55
115	1	32	28	3	6
116	1	35	25	1	3
117	1	0	1	0	0
118	1	7	0	0	0
119	1	0	7	0	0
120	0	148	126	16	31
121	1	1	3	0	1
122	0	0	5	0	1
123	0	283	151	54	41
124	0	20	11	3	2
125	1	0	1	0	0
126	0	262	144	44	34
127	0	76	23	12	5
128	1	1	0	0	0
129	0	194	101	21	26
130	0	203	161	52	45
131	0	0	80	0	23
132	0	152	107	20	28
133	0	62	89	13	21
134	0	194	166	39	56
135	0	57	0	6	0
136	0	20	47	2	13
137	0	0	18	0	5
138	1	7	0	0	0
139	1	15	5	2	0
140	0	0	13	0	5
141	0	57	39	4	13
142	0	305	216	57	54
143	0	76	23	9	3
144	1	3	0	1	0
145	0	0	8	0	2
146	0	198	87	29	22
147	0	3	15	0	0
148	0	160	77	29	18
149	0	159	133	32	36
150	0	150	35	22	10
151	0	322	221	57	67
152	0	0	5	0	0
153	0	159	112	37	34
154	1	21	21	1	3
155	0	251	170	40	49
156	1	29	16	4	3
157	1	3	0	0	0
158	0	127	67	17	14
159	1	1	1	0	0
160	1	3	0	1	0
161	1	4	3	0	0
162	0	101	142	15	46
163	1	3	0	0	0
164	1	0	20	0	4
165	1	0	0	0	0
166	0	138	77	19	19
167	0	35	16	2	4
168	1	4	1	1	1
169	1	1	0	0	0
170	1	0	6	0	0
171	1	0	0	0	0
172	0	0	13	0	1
173	0	51	30	15	4
174	0	143	110	16	28
175	0	285	193	48	38
176	0	338	199	61	67
177	0	243	131	46	44
178	0	257	226	57	71
179	0	104	132	33	31
180	0	12	79	2	23
181	0	122	108	18	26
182	0	67	46	10	9
183	0	155	153	18	42
184	0	0	5	0	1
185	0	232	105	33	32
186	0	0	0	0	0
187	0	6	1	1	0
188	0	307	214	66	67
189	0	20	5	2	1
190	0	146	61	29	13
191	1	10	5	2	1
192	1	34	27	3	3
193	0	26	0	5	0
194	1	2	0	0	0
195	1	8	3	1	1
196	0	279	112	57	37
197	0	278	179	53	55
198	0	203	147	36	35
199	1	13	1	1	0
200	0	0	38	0	10
201	0	41	69	6	19
202	1	5	5	0	0
203	0	48	51	6	9
204	0	64	25	8	9
205	0	124	91	23	22
206	0	8	3	0	1
207	0	19	17	0	3
208	0	34	76	4	22
209	0	38	219	4	62
210	0	0	123	0	34
211	0	0	38	0	8
212	0	39	0	5	0
213	0	0	6	0	1
214	1	0	0	0	0
215	0	2	0	0	0
216	1	1	0	0	0
217	1	2	0	0	0
218	0	55	110	12	23
219	1	4	8	0	1
220	0	243	9	46	4
221	0	137	36	19	8
222	1	3	0	2	0
223	0	6	55	1	20
224	1	0	17	0	2
225	0	0	10	0	2
226	0	252	201	42	52
227	0	152	0	21	0
228	0	236	170	42	51
229	0	3	8	0	3
230	0	260	170	44	49
231	0	128	83	12	21
232	1	32	12	3	0
233	0	291	212	46	60
234	0	220	159	36	37
235	0	94	127	17	27
236	1	1	1	1	0
237	1	2	0	0	0
238	0	0	106	0	21
239	1	1	0	0	0
240	0	167	180	31	62
241	0	226	101	43	20
242	0	8	119	0	31
243	0	262	180	45	55
244	0	257	178	44	53
245	1	13	0	1	0
246	0	310	205	65	49
247	0	0	2	0	1
248	1	1	0	0	0
249	1	0	5	0	1
250	1	21	8	0	2
251	0	223	104	37	22
252	1	0	1	0	0
253	0	260	194	42	48
254	0	223	180	44	38
255	1	1	1	0	0
256	0	78	62	17	14
257	1	8	2	0	0
258	0	282	192	54	42
259	0	80	109	19	25
260	0	26	29	8	8
261	0	302	223	60	73
262	0	240	103	29	27
263	0	44	0	0	0
264	0	57	45	5	5
265	1	1	0	0	0
266	0	266	191	57	46
267	1	6	3	1	0
268	1	25	13	1	3
269	0	2	0	0	0
270	0	248	167	43	39
271	1	2	0	0	0
272	1	28	20	3	3
273	0	126	73	25	18
274	0	0	148	0	43
275	1	4	0	0	0
276	0	181	144	24	40
277	0	0	16	0	5
278	1	2	0	1	0
279	0	304	214	46	76
280	0	0	26	0	5
281	0	0	27	0	8
282	0	65	21	20	6
283	1	7	0	0	0
284	0	36	0	3	0
285	0	51	111	8	34
286	0	0	1	0	0
287	1	2	0	1	0
288	0	20	120	7	31
289	1	2	3	1	0
290	0	0	4	0	3
291	0	104	48	16	9
292	0	179	162	33	48
293	0	42	0	6	0
294	0	240	162	36	49
295	0	91	34	15	6
296	0	269	180	40	56
297	0	269	197	50	54
298	0	109	24	10	3
299	0	0	11	0	2
300	0	279	167	48	40
301	1	24	25	1	7
302	0	13	29	2	5
303	1	17	3	1	0
304	1	1	0	0	0
305	0	3	0	0	0
306	0	73	178	20	51
307	0	16	0	3	0
308	0	115	64	23	15
309	0	36	84	7	21
310	0	149	112	29	33
311	0	256	79	43	24
312	0	1	0	0	0
313	0	287	188	59	44
314	0	147	163	23	50
315	0	16	8	0	2
316	1	0	1	0	0
317	1	0	6	0	0
318	0	202	71	34	12
319	0	76	36	12	4
320	0	169	133	33	39
321	0	0	124	0	35
322	0	0	31	0	7
323	0	183	96	26	18
324	0	288	202	53	58
325	0	208	179	30	41
326	0	98	15	12	4
327	1	2	0	1	0
328	1	2	0	0	0
329	0	12	8	2	2
330	0	277	107	47	33
331	0	0	13	0	4
332	0	123	14	21	3
333	0	25	67	5	18
334	0	280	172	49	45
335	0	231	192	68	51
336	1	1	0	0	0
337	0	0	87	0	30
338	0	184	124	37	36
339	0	284	175	55	41
340	0	0	1	0	0
341	0	254	125	37	31
342	0	0	11	0	1
343	0	243	144	52	44
344	0	20	0	2	0
345	0	178	157	26	38
346	1	0	2	0	1
347	0	229	180	39	55
348	0	206	145	32	46
349	1	2	0	0	0
350	1	27	13	0	2
351	1	2	1	0	0
352	0	32	0	0	0
353	1	22	0	5	0
354	0	30	29	5	3
355	1	33	29	1	0
356	0	159	158	17	48
357	1	5	0	1	0
358	1	1	0	0	0
359	0	9	0	0	0
360	0	32	26	6	8
361	0	66	50	10	14
362	0	0	14	0	2
363	0	45	0	6	0
364	1	1	0	0	0
365	0	235	173	41	38
366	0	196	109	38	23
367	1	12	1	0	0
368	0	0	25	0	5
369	1	0	12	0	0
370	0	80	52	13	13
371	0	269	170	46	67
372	1	7	0	1	0
373	1	9	20	0	5
374	1	0	4	0	1
375	0	0	40	0	11
376	0	0	18	0	1
377	0	113	81	20	20
378	1	38	29	3	7
379	1	3	0	1	0
380	0	236	133	36	41
381	1	5	0	0	0
382	0	229	73	24	20
383	0	26	0	2	0
384	0	131	179	30	39
385	0	78	15	15	4
386	0	52	21	6	4
387	1	2	3	1	1
388	0	297	193	64	56
389	0	245	166	34	43
390	0	0	21	0	7
391	0	0	23	0	5
392	0	179	97	44	17
393	0	196	167	33	55
394	0	155	132	16	33
395	0	0	5	0	1
396	1	8	15	2	1
397	0	28	196	0	57
398	1	3	0	0	0
399	1	1	0	0	0
400	0	12	66	3	14
401	0	56	19	2	5
402	1	4	11	0	4
403	0	269	93	45	30
404	1	26	21	1	5
405	0	274	196	49	57
406	0	272	100	50	27
407	0	20	16	2	4
408	0	289	219	58	62
409	0	251	171	46	48
410	0	212	140	30	31
411	0	295	221	55	47
412	1	17	8	2	0
413	0	305	69	43	17
414	0	59	92	19	21
415	0	0	49	0	12
416	0	124	88	17	27
417	1	0	6	0	2
418	0	0	71	0	22
419	1	0	1	0	1
420	0	257	194	35	67
421	1	27	11	3	2
422	1	1	0	0	0
423	0	303	232	64	70
424	0	105	0	14	0
425	0	0	64	0	12
426	0	46	0	4	0
427	0	93	181	23	48
428	1	2	0	1	0
429	1	0	4	0	1
430	0	95	117	23	25
431	0	256	93	46	26
432	1	8	0	0	0
433	0	187	123	25	36
434	0	16	2	3	0
435	0	288	195	53	45
436	0	156	132	24	37
437	0	256	187	48	48
438	1	0	1	0	0
439	0	207	24	35	6
440	0	0	0	0	0
441	0	0	32	0	8
442	0	31	6	3	1
443	1	1	0	0	0
444	0	170	134	18	32
445	1	5	7	2	1
446	0	8	5	3	1
447	0	273	214	50	68
448	0	165	165	37	45
449	1	26	3	3	0
450	0	281	175	65	51
451	0	198	104	31	29
452	1	9	17	0	2
453	1	2	12	0	2
454	1	0	3	0	1
455	0	254	129	46	27
456	0	0	10	0	1
457	1	1	0	0	0
458	0	276	199	46	65
459	1	1	0	0	0
460	1	4	0	0	0
461	0	149	119	23	30
462	0	10	56	0	19
463	0	307	189	58	51
464	0	7	0	0	0
465	1	6	0	0	0
466	0	0	33	0	4
467	0	4	36	0	9
468	0	1	0	0	0
469	0	153	128	15	37
470	0	241	193	48	58
471	0	157	125	28	35
472	0	219	143	35	43
473	0	175	117	29	32
474	1	28	21	0	3
475	0	281	124	51	32
476	0	117	97	24	25
477	0	129	63	15	15
478	0	303	209	49	53
479	1	8	0	0	0
480	0	290	202	80	60
481	0	179	149	35	37
482	1	0	1	0	0
483	1	17	1	0	0
484	1	2	0	0	0
485	1	26	23	3	2
486	1	33	27	2	5
487	0	203	124	33	35
488	0	0	27	0	6
489	1	1	0	0	0
490	1	3	0	0	0
491	1	3	0	1	0
492	0	53	64	10	8
493	1	1	0	0	0
494	1	32	26	5	2
495	0	246	154	55	39
496	0	147	151	46	49
497	0	221	69	39	17
498	1	5	0	0	0
499	0	211	166	44	51
500	1	0	1	0	0
501	0	247	229	42	68
502	0	162	129	27	30
503	0	20	163	5	39
504	0	27	0	3	0
505	0	7	0	0	0
506	1	4	0	0	0
507	0	160	154	30	36
508	1	31	21	3	4
509	0	257	151	39	43
510	1	23	23	6	5
511	0	41	0	4	0
512	0	309	213	59	67
513	0	16	72	3	19
514	0	129	74	13	18
515	0	0	5	0	1
516	0	0	12	0	0
517	0	66	77	10	19
518	0	226	156	43	34
519	1	31	31	3	5
520	1	5	1	0	0
521	0	76	34	9	9
522	0	0	35	0	7
523	1	4	2	0	0
524	1	4	0	2	0
525	1	38	29	9	5
526	0	116	22	19	3
527	0	35	22	7	1
528	1	37	20	3	3
529	0	66	30	5	10
530	0	173	66	20	14
531	0	252	198	45	67
532	0	1	0	0	0
533	0	203	162	32	38
534	0	0	1	0	1
535	0	135	177	31	47
536	0	1	0	0	0
537	0	292	219	60	73
538	0	184	51	28	18
539	0	158	207	26	54
540	0	209	178	40	51
541	1	9	0	1	0
542	1	3	0	1	0
543	0	8	16	2	3
544	0	26	83	10	21
545	1	2	0	0	0
546	0	4	0	2	0
547	0	131	62	23	20
548	0	77	62	13	15
549	0	5	5	2	1
550	0	80	62	17	13
551	0	2	76	0	23
552	0	185	20	25	5
553	1	0	1	0	0
554	1	4	0	1	0
555	0	44	27	3	8
556	0	249	212	51	46
557	0	75	54	9	13
558	0	5	0	0	0
559	1	0	1	0	0
560	1	0	3	0	1
561	0	155	93	33	28
562	0	201	67	30	17
563	0	150	115	25	33
564	0	234	132	42	37
565	0	12	0	0	0
566	0	181	140	34	42
567	1	3	0	2	0
568	1	2	0	0	0
569	1	26	20	0	2
570	0	52	62	9	12
571	1	11	0	4	0
572	1	20	16	1	1
573	0	105	62	16	16
574	0	120	76	10	21
575	0	144	178	29	50
576	0	106	55	11	12
577	0	235	105	35	25
578	0	142	0	17	0
579	0	262	212	50	60
580	0	277	213	51	61
581	0	0	2	0	0
582	0	205	182	35	41
583	1	26	18	2	2
584	0	85	98	30	26
585	0	1	0	0	0
586	1	0	2	0	0
587	1	1	0	0	0
588	0	227	199	40	54
589	1	29	23	0	2
590	0	7	11	2	1
591	0	0	39	0	7
592	0	0	114	0	40
593	1	3	0	0	0
594	1	26	27	0	7
595	0	12	0	1	0
596	0	0	20	0	4
597	0	150	106	30	29
598	0	0	95	0	26
599	1	1	0	0	0
